Date : 2024-12-26 20:41:43
Directory : /Users/max/Documents/Code/Websites/mastela-site
Total : 100 files,  7891 codes, 429 comments, 769 blanks, all 9089 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         47 |      5,278 |        207 |        449 |      5,934 |
| TypeScript         |         37 |      1,817 |        172 |        230 |      2,219 |
| JavaScript JSX     |          2 |        194 |          8 |         18 |        220 |
| HTML               |          1 |        169 |          4 |         30 |        203 |
| JavaScript         |          6 |        101 |         33 |         17 |        151 |
| CSV                |          1 |         93 |          0 |          0 |         93 |
| JSON               |          1 |         75 |          0 |          1 |         76 |
| Prisma             |          1 |         55 |          2 |          8 |         65 |
| YAML               |          1 |         40 |          3 |          4 |         47 |
| JSON with Comments |          1 |         33 |          0 |          1 |         34 |
| CSS                |          1 |         21 |          0 |          6 |         27 |
| Markdown           |          1 |         15 |          0 |          5 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        100 |      7,891 |        429 |        769 |      9,089 |
| . (Files)                                                                                                          |         12 |        555 |         25 |         57 |        637 |
| .github                                                                                                            |          1 |         40 |          3 |          4 |         47 |
| .github/workflows                                                                                                  |          1 |         40 |          3 |          4 |         47 |
| .sanity                                                                                                            |          2 |        176 |          6 |         33 |        215 |
| .sanity/runtime                                                                                                    |          2 |        176 |          6 |         33 |        215 |
| prisma                                                                                                             |          1 |         55 |          2 |          8 |         65 |
| sanity                                                                                                             |         11 |        545 |         29 |         31 |        605 |
| sanity (Files)                                                                                                     |          2 |         26 |          0 |          9 |         35 |
| sanity/lib                                                                                                         |          3 |         24 |          0 |          7 |         31 |
| sanity/schemas                                                                                                     |          6 |        495 |         29 |         15 |        539 |
| src                                                                                                                |         73 |      6,520 |        364 |        636 |      7,520 |
| src (Files)                                                                                                        |          1 |         33 |         17 |          5 |         55 |
| src/components                                                                                                     |         30 |      2,407 |        129 |        171 |      2,707 |
| src/components (Files)                                                                                             |          4 |        555 |         64 |         24 |        643 |
| src/components/blog                                                                                                |          4 |        339 |          4 |         29 |        372 |
| src/components/email                                                                                               |          3 |         69 |          0 |         10 |         79 |
| src/components/home                                                                                                |         10 |        910 |         35 |         58 |      1,003 |
| src/components/home (Files)                                                                                        |          7 |        642 |         22 |         34 |        698 |
| src/components/home/TestimonialsSection                                                                            |          3 |        268 |         13 |         24 |        305 |
| src/components/property                                                                                            |          4 |        305 |         17 |         21 |        343 |
| src/components/search                                                                                              |          3 |        190 |          9 |         26 |        225 |
| src/components/shared                                                                                              |          2 |         39 |          0 |          3 |         42 |
| src/pages                                                                                                          |         20 |      3,215 |         95 |        312 |      3,622 |
| src/pages (Files)                                                                                                  |         12 |      1,885 |         51 |        153 |      2,089 |
| src/pages/api                                                                                                      |          2 |        170 |          9 |         24 |        203 |
| src/pages/api/stripe                                                                                               |          1 |        154 |          8 |         22 |        184 |
| src/pages/api/trpc                                                                                                 |          1 |         16 |          1 |          2 |         19 |
